"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\Audio.js", "JavaScript", 0, 231, 0, 0, 1, 41, 273
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\Canvas.js", "JavaScript", 0, 54, 0, 0, 3, 12, 69
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\Element.js", "JavaScript", 0, 31, 0, 0, 0, 19, 50
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\Event.js", "JavaScript", 0, 19, 0, 0, 0, 6, 25
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\EventIniter\MouseEvent.js", "JavaScript", 0, 11, 0, 0, 0, 4, 15
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\EventIniter\TouchEvent.js", "JavaScript", 0, 34, 0, 0, 0, 8, 42
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\EventIniter\index.js", "JavaScript", 0, 19, 0, 0, 0, 4, 23
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\EventTarget.js", "JavaScript", 0, 66, 0, 0, 0, 22, 88
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\FileReader.js", "JavaScript", 0, 20, 0, 0, 3, 8, 31
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\HTMLAudioElement.js", "JavaScript", 0, 27, 0, 0, 0, 18, 45
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\HTMLCanvasElement.js", "JavaScript", 0, 14, 0, 0, 7, 6, 27
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\HTMLElement.js", "JavaScript", 0, 79, 0, 0, 0, 25, 104
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\HTMLImageElement.js", "JavaScript", 0, 11, 0, 0, 7, 5, 23
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\HTMLMediaElement.js", "JavaScript", 0, 48, 0, 0, 0, 21, 69
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\wrapper\builtin\HTMLVideoElement.js", "JavaScript", 0, 28, 0, 0, 0, 18, 46
